CIK,IRS_NUMBER,CONFORMED_NAME,MinOfFILING_DATE,FORMER_CONFORMED_NAME,FORMER_NAME_CHANGED,ASSIGNED_SIC,I_COUNTRY,I_STPR,B_STREET,B_STREET1,B_STREET2,B_CITY,B_STPR,B_POSTAL,B_COUNTRY,B_PHONE,M_STREET,M_STREET1,M_STREET2,M_CITY,M_STPR,M_POSTAL,M_COUNTRY
"13055,910745418,LEFT BEHIND GAMES INC.,20131009,""LEFT BEHIND GAMES, INC."",20060615,7372,US,HI,1670 MAKALOA STREET SUITE 204,1670 MAKALOA STREET,SUITE 204,HONOLULU,HI,96814,US,951-234-5995,1670 MAKALOA STREET SUITE 204,1670 MAKALOA STREET,SUITE 204,HONOLULU,HI,96814,US"
13075,952884967,BOND FUND OF AMERICA INC,20110824,BOND FUND OF AMERICA INC,19920703,,US,MD,333 S HOPE ST - 55TH FL (MICG) ,333 S HOPE ST - 55TH FL (MICG),,LOS ANGELES,CA,90071,US,213-486-9200,333 S HOPE ST - 55TH FL (MICG) ,333 S HOPE ST - 55TH FL (MICG),,LOS ANGELES,CA,90071,US
"13156,208143439,""GALAXY GAMING, INC."",20140805,SECURED DIVERSIFIED INVESTMENT LTD,20050622,7900,,,6767 SPENCER STREET ,6767 SPENCER STREET,,LAS VEGAS,NV,89119,US,702-939-3254,6767 SPENCER STREET ,6767 SPENCER STREET,,LAS VEGAS,NV,89119,US"
13222,0,BOOZ ALLEN HAMILTON INC.,20100527,BOOZ ALLEN HAMILTON INC,20090528,,US,DE,8283 GREENSBORO DR ,8283 GREENSBORO DR,,MCLEAN,VA,22102,US,703-902-5000,8283 GREENSBORO DRIVE ,8283 GREENSBORO DRIVE,,MCLEAN,VA,22102,US
"13237,630634741,""AVALON INVESTMENT & SECURITIES GROUP, INC."",20090730,AVALON INVESTMENT & SECURITIES GROUP INC                /BD,20000101,,US,AL,404 AVALON AVENUE SUTE 200,404 AVALON AVENUE,SUTE 200,MUSCLE SHOALS,AL,35661,US,(256) 381-78,404 AVALON AVENUE SUTE 200,404 AVALON AVENUE,SUTE 200,MUSCLE SHOALS,AL,35661,US"
"13239,130511250,MOMENTIVE SPECIALTY CHEMICALS INC.,20101020,""HEXION SPECIALTY CHEMICALS, INC."",20050603,2821,US,NJ,180 EAST BROAD ST 26TH FLOOR,180 EAST BROAD ST,26TH FLOOR,COLUMBUS,OH,43215,US,6142254000,180 EAST BROAD ST 26TH FLR,180 EAST BROAD ST,26TH FLR,COLUMBUS,OH,43215,US"
13290,381339761,BORMANS INC /DE/,20100729,BORMAN FOOD STORES INC,19690904,5411,US,DE,2 PARAGON DRIVE ,2 PARAGON DRIVE,,MONTVALE,NJ,7645,US,201-573-9700,2 PARAGON DRIVE ,2 PARAGON DRIVE,,MONTVALE,NJ,7645,US
"13310,581105246,""BORST INVESTMENT PLANNING SERVICES, INC."",20090323,BORST INVESTMENT PLANNING SERVICES INC                  /BD,20000101,,US,GA,1316 DAWSON ROAD ,1316 DAWSON ROAD,,ALBANY,GA,31707,US,(229) 883-11,P O BOX 1654 ,P O BOX 1654,,ALBANY,GA,31702-1654,US"
13372,41278810,NSTAR ELECTRIC CO,20080804,BOSTON EDISON CO,19920703,4911,US,MA,800 BOYLSTON ST P1600,800 BOYLSTON ST,P1600,BOSTON,MA,2199,US,6174242000,800 BOYLSTON ST P1600,800 BOYLSTON ST,P1600,BOSTON,MA,2199,US
13386,42221910,FEDERATED GLOBAL ALLOCATION FUND,20130123,FEDERATED ASSET ALLOCATION FUND,20110131,,US,MA,4000 ERICSSON DRIVE ,4000 ERICSSON DRIVE,,WARRENDALE,PA,15086-7561,US,8003417400,4000 ERICSSON DRIVE ,4000 ERICSSON DRIVE,,WARRENDALE,PA,15086-7561,US
13463,952146939,C A BOTZUM & CO.,20090410,BOTZUM C A & CO\CA                                      /BD,20000101,,US,CA,505 SOUTH MAIN STREET SUITE 875,505 SOUTH MAIN STREET,SUITE 875,ORANGE,CA,92868-4509,US,714-973-2300,505 SOUTH MAIN STREET SUITE 875,505 SOUTH MAIN STREET,SUITE 875,ORANGE,CA,92868-4509,US
13547,952368719,ENTRX CORP,20080811,METALCLAD CORP,19920703,1700,US,DE,800 NICOLLET MALL SUITE 2690,800 NICOLLET MALL,SUITE 2690,MINNEAPOLIS,MN,55402,US,612 333-0614,800 NICOLLET MALL SUITE 2690,800 NICOLLET MALL,SUITE 2690,MINNEAPOLIS,MN,55402,US
13573,540646173,BOWL AMERICA INC,20080624,,,7900,US,MD,6446 EDSALL RD ,6446 EDSALL RD,,ALEXANDRIA,VA,22312,US,7039416300,P O BOX 1288 ,P O BOX 1288,,SPRINGFIELD,VA,22151,US
13606,350905052,WHITE ELECTRONIC DESIGNS CORP,20080807,BOWMAR INSTRUMENT CORP/IN/,19980917,3674,US,ID,3601 E UNIVERSITY DRIVE ,3601 E UNIVERSITY DRIVE,,PHOENIX,AZ,85034,US,6024371520,3601 E UNIVERSITY DRIVE SUITE 475,3601 E UNIVERSITY DRIVE,SUITE 475,PHOENIX,AZ,85034,US
13610,132618477,BOWNE & CO INC,20080630,,,2750,US,DE,55 WATER STREET ,55 WATER STREET,,NEW YORK,NY,10041-0006,US,2129245500,55 WATER STREET ,55 WATER STREET,,NEW YORK,NY,10041-0006,US
"13783,201775542,BRADLEY WOODS & CO. LTD.,20100505,""BRADLEY, WOODS & CO."",20020426,,US,DE,""805 THIRD AVE, 18TH FL. "",""805 THIRD AVE, 18TH FL."",,NEW YORK,NY,10022,US,212-826-9191,""805 THIRD AVE, 18TH FL. "",""805 THIRD AVE, 18TH FL."",,NEW YORK,NY,10022,US"
"14073,520903424,BRESLER & REINER INC,20080613,,,6513,US,DE,""11200 ROCKVILLE PIKE, SUITE 502 "",""11200 ROCKVILLE PIKE, SUITE 502"",,ROCKVILLE,MD,20852,US,(301) 945-43,""11200 ROCKVILLE PIKE, SUITE 502 "",""11200 ROCKVILLE PIKE, SUITE 502"",,ROCKVILLE,MD,20852,US"
14169,470469591,BRIDGES INVESTMENT COUNSEL INC                          /ADV,20090312,BRIDGES INVESTMENT COUNSEL,19660501,,US,NE,256 DURHAM PLZ 8401 W DODGE RD,256 DURHAM PLZ,8401 W DODGE RD,OMAHA,NE,68114,US,4023974700, ,,,,,,
14170,476027880,BRIDGES INVESTMENT FUND INC,20090227,,,,US,NE,8401 W DODGE RD SUITE 256,8401 W DODGE RD,SUITE 256,OMAHA,NE,68114,US,4023974700,8401 WEST DODGE ROAD SUITE 256,8401 WEST DODGE ROAD,SUITE 256,OMAHA,NE,68114,US
14177,951778176,BRIDGFORD FOODS CORP,20080602,BRIDGFORD PACKING CO,19670307,2013,US,CA,1308 N PATT ST P O BOX 3773,1308 N PATT ST,P O BOX 3773,ANAHEIM,CA,92801,US,7145265533,1308 NORTH PATT STREET P O BOX 3773,1308 NORTH PATT STREET,P O BOX 3773,ANAHEIM,CA,92803,US
14195,390182330,BRIGGS & STRATTON CORP,20080604,,,3510,US,WI,12301 W WIRTH ST ,12301 W WIRTH ST,,WAUWATOSA,WI,53222,US,4142595333,12301 W WIRTH ST ,12301 W WIRTH ST,,WAUWATOSA,WI,53222,US
14213,160961085,BRIGHTON SECURITIES CORPORATION,20140411,BRIGHTON SECURITIES CORP                                /BD,20020510,,US,NY,1703 MONROE AVENUE ,1703 MONROE AVENUE,,ROCHESTER,NY,14618-1487,US,(585)340-220,1703 MONROE AVENUE ,1703 MONROE AVENUE,,ROCHESTER,NY,14618-1487,US
"14232,135653797,""BRIMBERG & CO., L.P."",20130111,BRIMBERG & CO LP                                        /BD,20000101,,US,NY,230 PARK AVE SUITE 534,230 PARK AVE,SUITE 534,NEW YORK,NY,10169,US,212-332-4444,230 PARK AVE SUITE 534,230 PARK AVE,SUITE 534,NEW YORK,NY,10169,US"
14272,220790350,BRISTOL MYERS SQUIBB CO,20080626,BRISTOL MYERS CO,19891012,2834,US,DE,345 PARK AVE ,345 PARK AVE,,NEW YORK,NY,10154,US,2125464000,345 PARK AVE ,345 PARK AVE,,NEW YORK,NY,10154,US
"14280,880085608,""MSGI TECHNOLOGY SOLUTIONS, INC"",20110214,""MSGI SECURITY SOLUTIONS, INC"",20050215,3670,US,NV,575 MADISON AVENUE 10TH FLOOR,575 MADISON AVENUE,10TH FLOOR,NEW YORK,NY,10022,US,646-596-9099,575 MADISON AVENUE 10TH FLOOR,575 MADISON AVENUE,10TH FLOOR,NEW YORK,NY,10022,US"
"14333,510108038,""BRITTINGHAM, INC."",20091217,BRITTINGHAM INC                                         /BD,20000101,,US,NE,5809 KENNETT PIKE ,5809 KENNETT PIKE,,WILMINGTON,DE,19807,US,302-656-8173,5809 KENNETT PIKE ,5809 KENNETT PIKE,,WILMINGTON,DE,19807,US"
14358,134971230,SELIGMAN COMMON STOCK FUND INC,20091125,BROAD STREET INVESTING CORP,19820426,,,,50606 AMERIPRISE FINANCIAL CENTER H27/5228,50606 AMERIPRISE FINANCIAL CENTER,H27/5228,MINNEAPOLIS,MN,55474,US,612-671-4321,50606 AMERIPRISE FINANCIAL CENTER H27/5228,50606 AMERIPRISE FINANCIAL CENTER,H27/5228,MINNEAPOLIS,MN,55474,US
"14632,580969636,""SMITH, BROWN & GROOVER, INC."",20090318,SMITH BROWN & GROOVER INC,20020430,,US,GA,4001 VINEVILLE AVENUE ,4001 VINEVILLE AVENUE,,MACON,GA,31210-5039,US,478-474-7004,4001 VINEVILLE AVENUE ,4001 VINEVILLE AVENUE,,MACON,GA,31210-5039,US"
"14651,620808843,""BROWN ASSOCIATES, INC."",20100108,BROWN ASSOCIATES INC                                    /BD,20000101,,US,TN,819 BROAD STREET ,819 BROAD STREET,,CHATTANOOGA,TN,37402-2613,US,423-267-3776,P.O. BOX 11507 ,P.O. BOX 11507,,CHATTANOOGA,TN,37401-2507,US"
14661,134973745,BROWN BROTHERS HARRIMAN & CO,20090209,,,,US,NY,140 BROADWAY ,140 BROADWAY,,NEW YORK,NY,10005-1101,US,2124938200,140 BROADWAY ,140 BROADWAY,,NEW YORK,NY,10005-1101,US
14693,610143150,BROWN FORMAN CORP,20080605,BROWN FORMAN INC,19870816,2080,US,DE,850 DIXIE HWY ,850 DIXIE HWY,,LOUISVILLE,KY,40210,US,5025851100,P O BOX 1080 ,P O BOX 1080,,LOUISVILLE,KY,40201,US
14707,430197190,BROWN SHOE CO INC,20080602,BROWN SHOE CO INC/,19990528,3140,US,NY,8300 MARYLAND AVE P O BOX 29,8300 MARYLAND AVE,P O BOX 29,ST LOUIS,MO,63105,US,3148544000,P O BOX 29 ,P O BOX 29,,ST LOUIS,MO,63166,US
"14745,50310503,""BROWN, LISLE/CUMMINGS, INC."",20090305,BROWN LISLE CUMMINGS INC                                /BD,20020129,,US,RI,ONE TURKS HEAD PLACE - SUITE 800 ,ONE TURKS HEAD PLACE - SUITE 800,,PROVIDENCE,RI,02903-2273,US,(401) 421-89,ONE TURKS HEAD PLACE - SUITE 800 ,ONE TURKS HEAD PLACE - SUITE 800,,PROVIDENCE,RI,02903-2273,US"
"14767,455352466,""FIRST WILSHIRE SECURITIES, INC."",20140421,""FIRST WILSHIRE SECURITIES MANAGEMENT, INC."",20121112,,US,CA,""1214 EAST GREEN STREET, SUITE 104 SUITE 100"",""1214 EAST GREEN STREET, SUITE 104"",SUITE 100,PASADENA,CA,91106-3171,US,(626) 796-66,""1214 EAST GREEN STREET, SUITE 104 SUITE 100"",""1214 EAST GREEN STREET, SUITE 104"",SUITE 100,PASADENA,CA,91106-3171,US"
14846,132755856,BRT REALTY TRUST,20080603,BERG ENTERPRISES REALTY GROUP,19750724,6798,US,MA,60 CUTTER MILL RD SUITE 303,60 CUTTER MILL RD,SUITE 303,GREAT NECK,NY,11021-3190,US,5164663100, ,,,,,,
"14847,61095324,""GORDON, HASKETT & CO."",20120314,GORDON HASKETT & CO                                     /BD,20020326,,US,CT,115 EAST PUTNAM AVENUE ,115 EAST PUTNAM AVENUE,,GREENWICH,CT,6830,US,203-862-5100,115 EAST PUTNAM AVENUE ,115 EAST PUTNAM AVENUE,,GREENWICH,CT,6830,US"
14930,360848180,BRUNSWICK CORP,20080626,BRUNSWICK BALKE COLLENDER CO,19660919,3510,US,DE,ONE N FIELD CT ,ONE N FIELD CT,,LAKE FOREST,IL,60045-4811,US,8477354700,ONE N FIELD CT ,ONE N FIELD CT,,LAKE FOREST,IL,60045-4811,US
15019,520577448,BTR REALTY INC,20130918,BALTIMORE TROTTING RACES INC,19720815,6798,US,MD,1302 CONCOURSE DR STE 202 ,1302 CONCOURSE DR STE 202,,LINTHICUM,MD,21090,US,4106842000,1302 CONCOURSE DRIVE SUITE 202,1302 CONCOURSE DRIVE,SUITE 202,LINTHICUM,MD,21090,US
15168,60963716,BUELL SECURITIES CORPORATION,20090729,BUELL SECURITIES CORP                                   /BD,20000101,,US,CT,200 GLASTONBURY BOULEVARD SUITE 102,200 GLASTONBURY BOULEVARD,SUITE 102,GLASTONBURY,CT,6033,US,860 657 1700,200 GLASTONBURY BOULEVARD SUITE 102,200 GLASTONBURY BOULEVARD,SUITE 102,GLASTONBURY,CT,6033,US
"15260,136900645,""MIDAS PERPETUAL PORTFOLIO, INC."",20090102,""MIDAS DOLLAR RESERVES, INC."",20060215,,,,11 HANOVER SQUARE ,11 HANOVER SQUARE,,NEW YORK,NY,10005,US,2124806432,11 HANOVER SQUARE ,11 HANOVER SQUARE,,NEW YORK,NY,10005,US"
"15288,201885668,""BULLION MONARCH MINING, INC."",20110308,""BULLION MONARCH MINING, INC."",20101014,6795,,,""20  NORTH MAIN STREET, SUITE #202 "",""20  NORTH MAIN STREET, SUITE #202"",,ST. GEORGE,UT,84770,US,8014268111,""20  NORTH MAIN STREET, SUITE #202 "",""20  NORTH MAIN STREET, SUITE #202"",,ST. GEORGE,UT,84770,US"
15357,362667734,CHASE GENERAL CORP,20081114,CHASE CANDY CO,19660911,2060,US,MO,3600 LEONARD RD ,3600 LEONARD RD,,ST JOSEPH,MO,64503,US,8162791625,3600 LEONARD RD ,3600 LEONARD RD,,ST JOSEPH,MO,64503,US
15393,530040540,BUREAU OF NATIONAL AFFAIRS INC,20080618,,,2711,US,DE,1801 SOUTH BELL STREET ,1801 SOUTH BELL STREET,,ARLINGTON,VA,22202,US,703-341-3000,1801 SOUTH BELL STREET ROOM 2207,1801 SOUTH BELL STREET,ROOM 2207,ARLINGTON,VA,22202,US
"15470,236392440,""BURKE, LAWTON, BREWER & BURKE, LLC"",20091127,""BURKE, LAWTON, BREWER & BURKE"",20040107,,US,PA,516 N BETHLEHEM PIKE ,516 N BETHLEHEM PIKE,,AMBLER,PA,19002,US,215-643-9100,P.O. BOX 950 ,P.O. BOX 950,,SPRING HOUSE,PA,19477,US"
15511,416034000,BNSF RAILWAY CO,20080724,BURLINGTON NORTHERN & SANTA FE  RAILWAY CO,20031029,4011,US,DE,2650 LOU MENK DR ,2650 LOU MENK DR,,FORT WORTH,TX,76131-2830,US,8173523466,2650 LOU MENK DR ,2650 LOU MENK DR,,FORT WORTH,TX,76131-2830,US
15615,650829355,MASTEC INC,20091118,BURNUP & SIMS INC,19920703,1623,US,FL,800 S. DOUGLAS ROAD 12TH FLOOR,800 S. DOUGLAS ROAD,12TH FLOOR,CORAL GABLES,FL,33134,US,3055991800,800 S. DOUGLAS ROAD 12TH FLOOR,800 S. DOUGLAS ROAD,12TH FLOOR,CORAL GABLES,FL,33134,US
15678,830211955,EMEX CORP,20131107,HAWKS INDUSTRIES INC,19920703,8711,US,NV,12600 WEST COLFAX AVE SUITE C-500,12600 WEST COLFAX AVE,SUITE C-500,LAKEWOOD,CO,80215,US,3039860100,115 EAST 57TH STREET STE 1540 ,115 EAST 57TH STREET STE 1540,,NEW YORK,NY,10022,US
"15681,454049050,""TAG WEALTH MANAGEMENT, LLC"",20140311,""TAG WEALTH MANAGEMENT, INC"",20120116,,US,AZ,20815 N CAVE CREEK ROAD SUITE 401,20815 N CAVE CREEK ROAD,SUITE 401,PHOENIX,AZ,85024,US,623-792-9300,20815 N CAVE CREEK ROAD SUITE 401,20815 N CAVE CREEK ROAD,SUITE 401,PHOENIX,AZ,85024,US"
15847,410834293,BUTLER NATIONAL CORP,20120914,NATIONAL CONNECTOR CORP,19701009,7990,US,DE,19920 W 161ST ST ,19920 W 161ST ST,,OLATHE,KS,66062,US,8167809595,19920 W 161ST ST ,19920 W 161ST ST,,OLATHE,KS,66062,US
15867,381787847,JACK V. BUTTERFIELD INVESTMENT COMPANY,20090212,BUTTERFIELD JACK V INVESTMENT CO/MI                     /BD,20000101,,US,MI,100 SOUTH JACKSON SUITE 100,100 SOUTH JACKSON,SUITE 100,JACKSON,MI,49201,US,(517) 787-24,P.O. BOX 4057 ,P.O. BOX 4057,,JACKSON,MI,49204,US
"15869,381786572,""CV BROKERAGE, INC"",20140421,CV BROKERAGE INC,20100531,,US,MI,1001 CONSHOHOCKEN STATE ROAD SUITE 211,1001 CONSHOHOCKEN STATE ROAD,SUITE 211,WEST CONSHOHOCKEN,PA,19428,US,610-862-0880,1001 CONSHOHOCKEN STATE ROAD SUITE 211,1001 CONSHOHOCKEN STATE ROAD,SUITE 211,WEST CONSHOHOCKEN,PA,19428,US"
16040,42271897,CABOT CORP,20140129,CABOT GODFREY L INC,19680418,2890,US,DE,TWO SEAPORT LANE SUITE 1300 ,TWO SEAPORT LANE SUITE 1300,,BOSTON,MA,2210,US,6173450100,TWO SEAPORT LANE SUITE 1300 ,TWO SEAPORT LANE SUITE 1300,,BOSTON,MA,2210,US
16058,541345888,CACI INTERNATIONAL INC /DE/,20080609,CACI INC /DE/,19870119,7373,US,DE,1100 N GLEBE ST ,1100 N GLEBE ST,,ARLINGTON,VA,22201,US,7038417800,1100 NORTH GLEBE ROAD ,1100 NORTH GLEBE ROAD,,ARLINGTON,VA,22201,US
16099,741335253,LUBYS INC,20080610,LUBYS CAFETERIAS INC,19920703,5812,US,DE,13111 NORTHWEST FREEWAY SUITE 600,13111 NORTHWEST FREEWAY,SUITE 600,HOUSTON,TX,77040,US,(713) 329 68,13111 NORTHWEST FREEWAY SUITE 600,13111 NORTHWEST FREEWAY,SUITE 600,HOUSTON,TX,77040,US
16104,580625713,CAGLES INC,20090811,,,2015,US,GA,1385 COLLIER ROAD NW ,1385 COLLIER ROAD NW,,ATLANTA,GA,30318,US,4043552820,1385 COLLIER ROAD NW ,1385 COLLIER ROAD NW,,ATLANTA,GA,30318,US
16160,640500378,CAL-MAINE FOODS INC,20140710,CAL MAINE FOODS INC,19961018,200,US,DE,3320 WOODROW WILSON DRIVE ,3320 WOODROW WILSON DRIVE,,JACKSON,MS,39209,US,6019486813,3320 WOODROW WILSON DR ,3320 WOODROW WILSON DR,,JACKSON,MS,39209,US
16190,250598210,AGL SEPARATE ACCOUNT A,20090226,AMERICAN GENERAL LIFE INSURANCE CO SEPARATE ACCOUNT A,19920703,,US,TX,2727-A ALLEN PARKWAY ,2727-A ALLEN PARKWAY,,HOUSTON,TX,77019,US,713-522-1111,2727-A ALLEN PARKWAY ,2727-A ALLEN PARKWAY,,HOUSTON,TX,77019,US
"16287,0,""MUFG UNION BANK, NATIONAL ASSOCIATION"",20140805,UNION BANK N A,20140603,,,,400 CALIFORNIA STREET 14TH FLOOR,400 CALIFORNIA STREET,14TH FLOOR,SAN FRANCISCO,CA,94104,US,4157650400,""MUFG UNION BANK, NATIONAL ASSOCIATION 400 CALIFORNIA STREET"",""MUFG UNION BANK, NATIONAL ASSOCIATION"",400 CALIFORNIA STREET,SAN FRANCISCO,CA,94104,US"
16317,940357560,CALIFORNIA ENGELS MINING CO,20080806,,,1000,US,CA,117 CRESCENT ST P O BOX 778,117 CRESCENT ST,P O BOX 778,GREENVILLE,CA,95947,US,5302846191,117 CRESCENT ST P O BOX 778,117 CRESCENT ST,P O BOX 778,GREENVILLE,CA,95947,US
16357,941668412,AB LIQUIDATING CORP,20131105,ADAPTIVE BROADBAND CORP,19990519,3663,US,DE,1143 BORREGAS AVE ,1143 BORREGAS AVE,,SUNNYVALE,CA,94089,US,4087324000,AB LIQUIDATING CORPORATION 1143 BORREGAS AVE,AB LIQUIDATING CORPORATION,1143 BORREGAS AVE,SUNNYVALE,CA,94089,US
16422,940362795,CALIFORNIA WATER SERVICE CO,20090408,,,4941,US,CA,1720 N FIRST ST ,1720 N FIRST ST,,SAN JOSE,CA,95112,US,4084518200,1720 NORTH FIRST STREET ,1720 NORTH FIRST STREET,,SAN JOSE,CA,95112,US
16614,510110823,CAMCO FINANCIAL CORP,20091020,,,6036,US,DE,814 WHEELING AVENUE ,814 WHEELING AVENUE,,CAMBRIDGE,OH,43725,US,7404352020,814 WHEELING AVENUE ,814 WHEELING AVENUE,,CAMBRIDGE,OH,43725,US
"16652,952935986,""CAMERON, MURPHY & SPANGLER, INC."",20090224,CAMERON MURPHY & SPANGLER INC                           /BD,20000101,,US,CA,170 SOUTH OAKLAND AVENUE ,170 SOUTH OAKLAND AVENUE,,PASADENA,CA,91101-2509,US,626-449-1323,170 SOUTH OAKLAND AVENUE ,170 SOUTH OAKLAND AVENUE,,PASADENA,CA,91101-2509,US"
16732,210419870,CAMPBELL SOUP CO,20080604,,,2000,US,NJ,CAMPBELL PL ,CAMPBELL PL,,CAMDEN,NJ,8103,US,8563424800,CAMPBELL PL ,CAMPBELL PL,,CAMDEN,NJ,8103,US
16760,581079435,TRIZAK CORP,20130918,CAMPGROUNDS INTERNATIONAL INC,19890206,7011,US,GA,P.O. BOX 699 ,P.O. BOX 699,,DELRAY BEACH,FL,33447,US,4072760676, ,,,,,,
"16918,160716709,""CONSTELLATION BRANDS, INC."",20090325,CONSTELLATION BRANDS INC,20000920,2080,US,DE,207 HIGH POINT DRIVE BUILDING 100,207 HIGH POINT DRIVE,BUILDING 100,VICTOR,NY,14564,US,585-678-7100,207 HIGH POINT DRIVE BUILDING 100,207 HIGH POINT DRIVE,BUILDING 100,VICTOR,NY,14564,US"
16972,133346990,CANNELL PETER B & CO INC,20130809,,,,US,DE,545 MADISON AVENUE 11TH FLOOR,545 MADISON AVENUE,11TH FLOOR,NEW YORK,NY,10022,US,2127525255,545 MADISON AVENUE 11TH FLOOR,545 MADISON AVENUE,11TH FLOOR,NEW YORK,NY,10022,US
"17018,133680184,CANTOR FITZGERALD & CO.,20140318,CANTOR FITZGERALD & CO                                  /BD,20020318,,US,NY,""110 EAST 59TH STREET, 4TH FLOOR "",""110 EAST 59TH STREET, 4TH FLOOR"",,NEW YORK,NY,10022,US,212-610-2334,""110 EAST 59TH STREET, 4TH FLOOR "",""110 EAST 59TH STREET, 4TH FLOOR"",,NEW YORK,NY,10022,US"
17071,561128974,CAPE SECURITIES INC.,20131218,CAPE SECURITIES INC                                     /BD,20000101,,US,NC,1600 PENNSYLVANIA AVENUE ,1600 PENNSYLVANIA AVENUE,,MCDONOUGH,GA,30253,US,678-583-1120,1600 PENNSYLVANIA AVENUE ,1600 PENNSYLVANIA AVENUE,,MCDONOUGH,GA,30253,US
"17140,362780198,""CAPITAL DIRECTIONS, INC."",20090603,CAPITAL DIRECTIONS INC                                  /BD,20000101,,US,IL,8038 ANNE COURT ,8038 ANNE COURT,,ORLAND PARK,IL,60462,US,(708) 403-10,8038 ANNE COURT ,8038 ANNE COURT,,ORLAND PARK,IL,60462,US"
"17225,581300252,""CAPITAL INVESTMENTS, INC."",20090306,CAPITAL INVESTMENTS INC                                 /BD,20000101,,US,GA,1815 SATELLITE BLVD SUITE 502,1815 SATELLITE BLVD,SUITE 502,DULUTH,GA,30097-4074,US,678-473-1277,1815 SATELLITE BLVD SUITE 502,1815 SATELLITE BLVD,SUITE 502,DULUTH,GA,30097-4074,US"
17237,363704300,CAPITAL SECURITIES INVESTMENT CORPORATION,20090325,CAPITAL SECURITIES INVESTMENT CORP,20000101,,US,IL,2021 MIDWEST ROAD-STE. 104 ,2021 MIDWEST ROAD-STE. 104,,OAK BROOK,IL,60523-1336,US,630 705-9800,2021 MIDWEST ROAD-STE. 104 ,2021 MIDWEST ROAD-STE. 104,,OAK BROOK,IL,60523-1336,US
17283,951411037,CAPITAL RESEARCH & MANAGEMENT CO,20081224,,,,US,DE,333 SOUTH HOPE ST 55TH FLOOR,333 SOUTH HOPE ST,55TH FLOOR,LOS ANGELES,CA,90071,US,2134869200,333 SOUTH HOPE STREET 55TH FL,333 SOUTH HOPE STREET,55TH FL,LOS ANGELES,CA,90071,US
17313,751072796,CAPITAL SOUTHWEST CORP,20141119,,,,US,TX,5400 LYNDON B. JOHNSON FREEWAY SUITE 1300,5400 LYNDON B. JOHNSON FREEWAY,SUITE 1300,DALLAS,TX,75240,US,9722338242,5400 LYNDON B. JOHNSON FREEWAY SUITE 1300,5400 LYNDON B. JOHNSON FREEWAY,SUITE 1300,DALLAS,TX,75240,US
"17485,870267292,""LIBERATOR MEDICAL HOLDINGS, INC."",20080730,CARDIFF COMMUNICATIONS INC,19920703,5912,US,NV,2979 SE GRAN PARK WAY ,2979 SE GRAN PARK WAY,,STUART,FL,34997,US,772-287-2414,2979 SE GRAN PARK WAY ,2979 SE GRAN PARK WAY,,STUART,FL,34997,US"
17544,952554669,AEROTELESIS INC,20080617,PACIFIC REALM INC,20000210,4813,US,DE,1554 S SEPULVEDA BLVD SUITE 118,1554 S SEPULVEDA BLVD,SUITE 118,LOS ANGELES,CA,90025,US,(310) 235-17,1554 S SEPULVEDA BLVD SUITE 118,1554 S SEPULVEDA BLVD,SUITE 118,LOS ANGELES,CA,90025,US
"17797,560165465,""DUKE ENERGY PROGRESS, INC."",20130516,CAROLINA POWER & LIGHT CO,19920703,4911,US,NC,410 S. WILMINGTON STREET ,410 S. WILMINGTON STREET,,RALEIGH,NC,27601,US,9195466111,410 S. WILMINGTON STREET ,410 S. WILMINGTON STREET,,RALEIGH,NC,27601,US"
17843,230458500,CARPENTER TECHNOLOGY CORP,20080624,,,3312,US,DE,2 MERIDIAN BOULEVARD ,2 MERIDIAN BOULEVARD,,WYOMISSING,PA,19612,US,6102082000,PO BOX 14662 ,PO BOX 14662,,READING,PA,19612-4662,US
"17872,112003950,CARR SECURITIES CORPORATION,20091125,CARR SECURITIES CORP                                    /BD,20020711,,US,NY,""14 VANDERVENTER AVENUE, SUITE 210 "",""14 VANDERVENTER AVENUE, SUITE 210"",,PORT WASHINGTON,NY,11050,US,516-944-8300,14 VANDERVENTER AVENUE ,14 VANDERVENTER AVENUE,,PORT WASHINGTON,NY,11050,US"
"17914,900354514,""CALIBRAX CAPITAL PARTNERS, LLC"",20090326,ESTATE OF JOHN J. CARROLL,20080529,,US,NY,157 MAIN STREET 3RD FLOOR,157 MAIN STREET,3RD FLOOR,COLD SPRING HARBOR,NY,11724,US,917-886-7250,157 MAIN STREET 3RD FLOOR,157 MAIN STREET,3RD FLOOR,COLD SPRING HARBOR,NY,11724,US"
17927,160958146,CARROLS CORP,20080805,CARROLS DEVELOPMENT CORP,19830725,5812,US,DE,968 JAMES ST ,968 JAMES ST,,SYRACUSE,NY,13203-6969,US,3154240513,PO BOX 6969 805 THIRD AVENUE,PO BOX 6969,805 THIRD AVENUE,SYRACUSE,NY,13203-6969,US
"18026,620842403,""CARTY & COMPANY, INC."",20090313,CARTY & CO INC                                          /BD,20000101,,US,TN,6263 POPLAR AVENUE SUITE 800,6263 POPLAR AVENUE,SUITE 800,MEMPHIS,TN,38119,US,901-767-8940,P.O. BOX 17527 ,P.O. BOX 17527,,MEMPHIS,TN,38187-0527,US"
18061,930136592,CASCADE CORP,20080606,,,3537,US,OR,2201 N.E. 201ST AVE. ,2201 N.E. 201ST AVE.,,FAIRVIEW,OR,97024-9718,US,5036696300,2201 N.E. 201ST AVE ,2201 N.E. 201ST AVE,,FAIRVIEW,OR,97024-9718,US
